Exercise log for child4, exercise: ikinci;;;;
Start time: Sun Jun 04 17:56:38 TRT 2023;;;;
End time: Sun Jun 04 17:56:57 TRT 2023;;;;
SpeedScore;AccuracyScore
62500;100
Questions;Results;ResponseTime
3 x 6;correct;2
2 x 2;correct;1
1 x 7;correct;4
4 x 5;correct;2
4 x 7;correct;2
2 x 4;correct;3
3 x 7;correct;2
