Exercise log for child4, exercise: ilk;;;;
Start time: Sun Jun 04 17:57:14 TRT 2023;;;;
End time: Sun Jun 04 17:57:26 TRT 2023;;;;
SpeedScore;AccuracyScore
111111;80
Questions;Results;ResponseTime
3 x 4;correct;2
3 x 5;incorrect;2
3 x 1;correct;2
2 x 7;correct;2
3 x 7;correct;1
