Exercise log for child1, exercise: ikinci;;;;
Start time: Sun Jun 04 17:55:26 TRT 2023;;;;
End time: Sun Jun 04 17:55:42 TRT 2023;;;;
SpeedScore;AccuracyScore
83333;100
Questions;Results;ResponseTime
4 x 6;correct;2
4 x 4;correct;2
1 x 3;correct;1
3 x 5;correct;2
4 x 7;correct;1
3 x 1;correct;2
2 x 4;correct;2
