Exercise log for child4, exercise: ilk;;;;
Start time: Sun Jun 04 17:57:01 TRT 2023;;;;
End time: Sun Jun 04 17:57:12 TRT 2023;;;;
SpeedScore;AccuracyScore
125000;100
Questions;Results;ResponseTime
2 x 3;correct;2
2 x 4;correct;1
2 x 1;correct;1
2 x 7;correct;3
2 x 2;correct;1
