Exercise log for child1, exercise: ilk;;;;
Start time: Mon Jun 05 20:08:27 TRT 2023;;;;
End time: Mon Jun 05 20:08:38 TRT 2023;;;;
SpeedScore;AccuracyScore
111111;100
Questions;Results;ResponseTime
1 x 4;correct;3
2 x 4;correct;1
2 x 3;correct;2
3 x 2;correct;1
3 x 6;correct;2
