Exercise log for child1, exercise: Zor;;;;
Start time: Sun Jun 04 17:58:46 TRT 2023;;;;
End time: Sun Jun 04 17:59:04 TRT 2023;;;;
SpeedScore;AccuracyScore
71428;100
Questions;Results;ResponseTime
3 x 7;correct;2
7 x 6;correct;3
1 x 1;correct;1
7 x 3;correct;1
10 x 1;correct;1
8 x 8;correct;1
6 x 7;correct;2
4 x 9;correct;3
