Exercise log for child2, exercise: Zor;;;;
Start time: Sun Jun 04 17:59:34 TRT 2023;;;;
End time: Sun Jun 04 17:59:49 TRT 2023;;;;
SpeedScore;AccuracyScore
90909;100
Questions;Results;ResponseTime
1 x 3;correct;2
4 x 3;correct;2
5 x 7;correct;2
1 x 10;correct;1
10 x 4;correct;1
1 x 5;correct;1
8 x 10;correct;1
4 x 10;correct;1
